user_id,movie_id,rating
drakman,onoda-10000-nights-in-the-jungle,3.5
drakman,sicario-2015,4.5
drakman,mr-beans-holiday,2.5
drakman,samurai-champloo,3.5
drakman,les-miserables-2012,4.0
drakman,space-jam,3.5
drakman,thermae-romae,3.5
drakman,the-lost-daughter-2021,3.5
drakman,jackass-3d,4.0
drakman,have-you-met-claudia,2.0
drakman,hotel-mumbai,3.5
drakman,love-death-robots-shape-shifters,3.5
drakman,joseph-king-of-dreams,2.5
drakman,mi-fido-di-te,3.0
drakman,lilo-stitch,3.0
drakman,minari,3.5
drakman,john-mulaney-the-comeback-kid,4.0
drakman,fantastic-mr-fox,4.0
drakman,armageddon,2.0
drakman,free-willy,2.0
drakman,the-concorde-airport-79,2.0
drakman,finding-nemo,4.0
drakman,cowboy-bebop-the-movie,3.0
drakman,the-avengers-2012,3.5
drakman,rocketman-2019,3.5
drakman,hellsing-ultimate-v,3.5
drakman,scary-movie-2,2.0
drakman,tremors,3.5
drakman,the-zone-of-interest,3.5
drakman,love-death-robots-automated-customer-service,1.5
drakman,sherlock-holmes-2009,3.5
drakman,jurassic-park-iii,1.5
drakman,slumdog-millionaire,3.5
drakman,harry-potter-and-the-deathly-hallows-part-1,2.0
drakman,kick-ass,3.5
drakman,american-pie,3.0
drakman,burning-2018,4.0
drakman,hugo,4.0
drakman,buried,3.0
drakman,columbus-2017,3.5
drakman,night-is-short-walk-on-girl,2.5
drakman,david-attenborough-a-life-on-our-planet,4.5
drakman,bean,3.5
drakman,ice-age-dawn-of-the-dinosaurs,2.5
drakman,ford-v-ferrari,4.0
drakman,zombieland,3.0
drakman,corpse-bride,3.0
drakman,1917,4.0
drakman,flow-2024,4.0
drakman,io-capitano,4.0
drakman,the-incredibles,3.0
drakman,movie-43,3.0
drakman,hostel,4.0
drakman,porco-rosso,4.0
drakman,fargo,4.5
drakman,the-gift,3.0
drakman,interstellar,3.5
drakman,i-lunes-e-la-sfera-di-lasifer,4.0
drakman,ricky-gervais-humanity,3.5
drakman,chappie,4.0
drakman,50-first-dates,3.5
drakman,eagle-eye,2.5
drakman,the-dark-knight,4.5
drakman,the-spongebob-squarepants-movie,3.5
drakman,scooby-doo,2.0
drakman,son-of-the-mask,0.5
drakman,the-transporter,2.5
drakman,the-expendables-2,3.5
drakman,the-great-beauty,3.0
drakman,cube,3.5
drakman,bones-and-all,2.5
drakman,the-northman,4.5
drakman,men-in-black-ii,2.0
drakman,rocky-balboa,3.5
drakman,shrek,4.0
drakman,mulholland-drive,4.0
drakman,ask-me-if-im-happy,3.0
drakman,up,3.5
drakman,the-sword-in-the-stone,3.5
drakman,wrath-of-man,3.5
drakman,another-round,3.5
drakman,prospect-2018,3.5
drakman,blade-runner-black-out-2022,4.0
drakman,tarzan,3.0
drakman,partly-cloudy,3.5
drakman,jarhead,3.5
